x : f(x) : interpolation : error
-0.934198 : 0.701947 : 0.703229 : -0.00128146
-0.933198 : 0.700697 : 0.701959 : -0.00126169
-0.932198 : 0.699448 : 0.70069 : -0.00124206
-0.931198 : 0.698199 : 0.699422 : -0.00122257
-0.930198 : 0.696951 : 0.698154 : -0.00120324
-0.929198 : 0.695703 : 0.696887 : -0.00118404
-0.928198 : 0.694456 : 0.695621 : -0.001165
-0.927198 : 0.69321 : 0.694356 : -0.00114609
-0.926198 : 0.691964 : 0.693091 : -0.00112733
-0.925198 : 0.690719 : 0.691827 : -0.00110871
-0.924198 : 0.689474 : 0.690564 : -0.00109024
-0.923198 : 0.68823 : 0.689301 : -0.00107191
-0.922198 : 0.686986 : 0.68804 : -0.00105372
-0.921198 : 0.685743 : 0.686779 : -0.00103568
-0.920198 : 0.684501 : 0.685518 : -0.00101778
-0.919198 : 0.683259 : 0.684259 : -0.00100001
-0.918198 : 0.682017 : 0.683 : -0.000982396
-0.917198 : 0.680777 : 0.681742 : -0.000964919
-0.916198 : 0.679537 : 0.680484 : -0.000947583
-0.915198 : 0.678297 : 0.679228 : -0.000930388
-0.914198 : 0.677058 : 0.677972 : -0.000913334
-0.913198 : 0.67582 : 0.676716 : -0.00089642
-0.912198 : 0.674582 : 0.675462 : -0.000879646
-0.911198 : 0.673345 : 0.674208 : -0.000863011
-0.910198 : 0.672109 : 0.672955 : -0.000846516
-0.909198 : 0.670873 : 0.671703 : -0.000830161
-0.908198 : 0.669637 : 0.670451 : -0.000813944
-0.907198 : 0.668403 : 0.669201 : -0.000797865
-0.906198 : 0.667169 : 0.667951 : -0.000781925
-0.905198 : 0.665935 : 0.666701 : -0.000766123
-0.904198 : 0.664702 : 0.665453 : -0.000750458
-0.903198 : 0.66347 : 0.664205 : -0.000734931
-0.902198 : 0.662238 : 0.662958 : -0.00071954
-0.901198 : 0.661007 : 0.661711 : -0.000704287
-0.900198 : 0.659777 : 0.660466 : -0.000689169
-0.899198 : 0.658547 : 0.659221 : -0.000674188
-0.898198 : 0.657317 : 0.657977 : -0.000659342
-0.897198 : 0.656089 : 0.656733 : -0.000644632
-0.896198 : 0.654861 : 0.655491 : -0.000630056
-0.895198 : 0.653633 : 0.654249 : -0.000615616
-0.894198 : 0.652407 : 0.653008 : -0.000601309
-0.893198 : 0.65118 : 0.651768 : -0.000587137
-0.892198 : 0.649955 : 0.650528 : -0.000573098
-0.891198 : 0.64873 : 0.649289 : -0.000559193
-0.890198 : 0.647506 : 0.648051 : -0.000545421
-0.889198 : 0.646282 : 0.646814 : -0.000531781
-0.888198 : 0.645059 : 0.645577 : -0.000518274
-0.887198 : 0.643836 : 0.644341 : -0.000504898
-0.886198 : 0.642615 : 0.643106 : -0.000491655
-0.885198 : 0.641393 : 0.641872 : -0.000478542
-0.884198 : 0.640173 : 0.640638 : -0.00046556
-0.883198 : 0.638953 : 0.639406 : -0.000452709
-0.882198 : 0.637734 : 0.638174 : -0.000439988
-0.881198 : 0.636515 : 0.636942 : -0.000427397
-0.880198 : 0.635297 : 0.635712 : -0.000414935
-0.879198 : 0.634079 : 0.634482 : -0.000402603
-0.878198 : 0.632863 : 0.633253 : -0.000390399
-0.877198 : 0.631647 : 0.632025 : -0.000378323
-0.876198 : 0.630431 : 0.630797 : -0.000366375
-0.875198 : 0.629216 : 0.629571 : -0.000354555
-0.874198 : 0.628002 : 0.628345 : -0.000342862
-0.873198 : 0.626788 : 0.62712 : -0.000331296
-0.872198 : 0.625575 : 0.625895 : -0.000319856
-0.871198 : 0.624363 : 0.624672 : -0.000308542
-0.870198 : 0.623152 : 0.623449 : -0.000297354
-0.869198 : 0.621941 : 0.622227 : -0.000286291
-0.868198 : 0.62073 : 0.621006 : -0.000275353
-0.867198 : 0.619521 : 0.619785 : -0.00026454
-0.866198 : 0.618312 : 0.618565 : -0.00025385
-0.865198 : 0.617103 : 0.617346 : -0.000243284
-0.864198 : 0.615895 : 0.616128 : -0.000232842
-0.863198 : 0.614688 : 0.614911 : -0.000222522
-0.862198 : 0.613482 : 0.613694 : -0.000212324
-0.861198 : 0.612276 : 0.612478 : -0.000202249
-0.860198 : 0.611071 : 0.611263 : -0.000192295
-0.859198 : 0.609867 : 0.610049 : -0.000182463
-0.858198 : 0.608663 : 0.608836 : -0.000172751
-0.857198 : 0.60746 : 0.607623 : -0.00016316
-0.856198 : 0.606257 : 0.606411 : -0.000153688
-0.855198 : 0.605056 : 0.6052 : -0.000144336
-0.854198 : 0.603854 : 0.603989 : -0.000135103
-0.853198 : 0.602654 : 0.60278 : -0.000125989
-0.852198 : 0.601454 : 0.601571 : -0.000116993
-0.851198 : 0.600255 : 0.600363 : -0.000108114
-0.850198 : 0.599057 : 0.599156 : -9.93534e-05
-0.849198 : 0.597859 : 0.59795 : -9.07093e-05
-0.848198 : 0.596662 : 0.596744 : -8.21817e-05
-0.847198 : 0.595465 : 0.595539 : -7.37701e-05
-0.846198 : 0.59427 : 0.594335 : -6.5474e-05
-0.845198 : 0.593075 : 0.593132 : -5.72931e-05
-0.844198 : 0.59188 : 0.591929 : -4.92269e-05
-0.843198 : 0.590687 : 0.590728 : -4.12748e-05
-0.842198 : 0.589494 : 0.589527 : -3.34365e-05
-0.841198 : 0.588301 : 0.588327 : -2.57116e-05
-0.840198 : 0.58711 : 0.587128 : -1.80994e-05
-0.839198 : 0.585919 : 0.585929 : -1.05996e-05
-0.838198 : 0.584728 : 0.584732 : -3.21176e-06
-0.837198 : 0.583539 : 0.583535 : 4.06466e-06
-0.836198 : 0.58235 : 0.582339 : 1.12301e-05
-0.835198 : 0.581162 : 0.581143 : 1.82851e-05
-0.834198 : 0.579974 : 0.579949 : 2.523e-05
-0.833198 : 0.578787 : 0.578755 : 3.20654e-05
-0.832198 : 0.577601 : 0.577563 : 3.87918e-05
-0.831198 : 0.576416 : 0.576371 : 4.54095e-05
-0.830198 : 0.575231 : 0.575179 : 5.19192e-05
-0.829198 : 0.574047 : 0.573989 : 5.83212e-05
-0.828198 : 0.572864 : 0.572799 : 6.46161e-05
-0.827198 : 0.571681 : 0.571611 : 7.08044e-05
-0.826198 : 0.570499 : 0.570423 : 7.68866e-05
-0.825198 : 0.569318 : 0.569235 : 8.28631e-05
-0.824198 : 0.568138 : 0.568049 : 8.87345e-05
-0.823198 : 0.566958 : 0.566864 : 9.45013e-05
-0.822198 : 0.565779 : 0.565679 : 0.000100164
-0.821198 : 0.564601 : 0.564495 : 0.000105723
-0.820198 : 0.563423 : 0.563312 : 0.000111179
-0.819198 : 0.562246 : 0.56213 : 0.000116532
-0.818198 : 0.56107 : 0.560948 : 0.000121783
-0.817198 : 0.559894 : 0.559768 : 0.000126933
-0.816198 : 0.55872 : 0.558588 : 0.000131982
-0.815198 : 0.557546 : 0.557409 : 0.00013693
-0.814198 : 0.556372 : 0.556231 : 0.000141778
-0.813198 : 0.5552 : 0.555053 : 0.000146526
-0.812198 : 0.554028 : 0.553877 : 0.000151176
-0.811198 : 0.552857 : 0.552701 : 0.000155727
